0|1|2
Model Interpretability|What are partial dependence plots (PDP)?|PDPs show the effect of a single feature on predictions, averaging out other features, helping understand global feature impact.
Model Interpretability|How does an attention mechanism improve interpretability in NLP?|Attention assigns weights to each input word, indicating which words influence predictions, thus improving interpretability in sequence models.
Model Interpretability|What is counterfactual explanation in ML?|Counterfactuals answer “what-if” scenarios by changing input features to see how predictions change, useful for understanding model sensitivity.
Model Interpretability|What are surrogate models in interpretability?|Surrogate models are interpretable models (e.g., decision trees) trained to approximate complex models, providing interpretability at the cost of slight accuracy loss.
Model Interpretability|What is the difference between global and local interpretability?|Global interpretability explains the model as a whole, while local interpretability explains individual predictions.
Model Interpretability|How can decision trees aid in interpretability?|Decision trees visually show feature splits and decision paths, making it easy to understand the logic behind predictions.
Model Interpretability|How would you interpret a black-box model in production?|Use model-agnostic methods like SHAP, LIME, and counterfactuals, alongside feature importance scores and PDPs.
Hyperparameter Optimization|What is hyperparameter tuning?|Hyperparameter tuning is the process of optimizing model parameters not learned during training, impacting model performance.
Hyperparameter Optimization|Explain the difference between hyperparameters and model parameters.|Hyperparameters are external settings (e.g., learning rate), while model parameters (e.g., weights) are learned from data.
Hyperparameter Optimization|What is Optuna, and how does it work?|Optuna is a hyperparameter optimization library that uses Bayesian and other optimization techniques, efficiently searching parameter space.
Hyperparameter Optimization|Explain Bayesian optimization in hyperparameter tuning.|Bayesian optimization builds a probabilistic model of the objective function to guide the search for optimal hyperparameters.
Hyperparameter Optimization|What is the advantage of Hyperband over traditional tuning methods?|Hyperband allocates resources dynamically, quickly discarding poor-performing trials and focusing on promising ones.
Hyperparameter Optimization|Describe grid search and random search.|Grid search exhaustively tests parameter combinations, while random search samples randomly, often more efficient for large spaces.
Hyperparameter Optimization|What is early stopping in hyperparameter tuning?|Early stopping halts training if validation performance stops improving, preventing overfitting and saving resources.
Hyperparameter Optimization|How would you set up hyperparameter tuning in cross-validation?|Combine cross-validation with tuning to find the best parameters by averaging scores over multiple folds.
Hyperparameter Optimization|When should you use automated hyperparameter tuning?|Automated tuning is ideal for complex models with numerous parameters and large parameter spaces.
Hyperparameter Optimization|What are the downsides of hyperparameter tuning?|It can be computationally expensive, time-consuming, and may lead to overfitting on validation data if not managed properly.
Natural Language Processing (NLP)|What is tokenization, and why is it important in NLP?|Tokenization splits text into individual units (words, sentences) for processing, essential for model input and semantic understanding.
Natural Language Processing (NLP)|Explain word embeddings.|Word embeddings map words to vector spaces, capturing semantic relationships, with popular techniques like Word2Vec and GloVe.
Natural Language Processing (NLP)|What are transformers in NLP?|Transformers are models using attention mechanisms to handle long-range dependencies in sequences, foundational to BERT and GPT.
Natural Language Processing (NLP)|What is BERT, and how is it trained?|BERT (Bidirectional Encoder Representations from Transformers) is trained on masked language modeling, capturing context from both sides.
Natural Language Processing (NLP)|Explain the concept of attention in NLP.|Attention mechanisms assign weights to each token in a sequence, identifying the most influential tokens in making predictions.
Natural Language Processing (NLP)|What is the difference between sequence-to-sequence and sequence classification?|Sequence-to-sequence tasks output sequences (e.g., translation), while sequence classification outputs labels (e.g., sentiment).
Natural Language Processing (NLP)|What is fine-tuning in the context of transformers?|Fine-tuning adjusts a pre-trained transformer to a specific task, often with fewer resources and data.
Natural Language Processing (NLP)|How do transfer learning and fine-tuning work in NLP?|Transfer learning adapts knowledge from large, pre-trained models, while fine-tuning customizes them for specific tasks.
Natural Language Processing (NLP)|What is AutoML, and what are its benefits in ML?|AutoML automates model selection, tuning, and deployment, democratizing access to ML and reducing time on repetitive tasks.
Natural Language Processing (NLP)|What are ethical considerations in ML?|Ethical ML considers fairness, transparency, accountability, data privacy, and avoiding harm, especially in high-stakes applications.
